SKU,Name,Regular price,Description,Categories,Images
laptop-lenovo-ideapad-slim-5-14akp10-83hx001jvn-ryzen-ai-7,Laptop Lenovo IdeaPad Slim 5 OLED 14AKP10 83HX001JVN,26790000,Xem chi tiết: https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14akp10-83hx001jvn-ryzen-ai-7.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//t/e/text_ng_n_13__8_21.png"
laptop-lenovo-thinkpad-x1-carbon-gen-13-aura-edition-21nx0039vn,Laptop Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition 21NX0039VN,50990000,Xem chi tiết: https://cellphones.com.vn/laptop-lenovo-thinkpad-x1-carbon-gen-13-aura-edition-21nx0039vn.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_26.png"
laptop-hp-15-fd1063tu-9z2y1pa,Laptop HP 15-FD1063TU 9Z2Y1PA,16890000,Xem chi tiết: https://cellphones.com.vn/laptop-hp-15-fd1063tu-9z2y1pa.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_1__3.png"
laptop-dell-15-dc15250-h02df,Laptop Dell 15 DC15250 H02DF - Nhập khẩu chính hãng,14990000,Xem chi tiết: https://cellphones.com.vn/laptop-dell-15-dc15250-h02df.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_872.png"
laptop-dell-vostro-3520-f0v0vi3,Laptop Dell Vostro 3520 F0V0VI3 - Nhập khẩu chính hãng,9290000,Xem chi tiết: https://cellphones.com.vn/laptop-dell-vostro-3520-f0v0vi3.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//l/a/laptop-dell-vostro-3520-f0v0vi3-thumbnails.png"
laptop-lenovo-yoga-slim-7-14imh9-83cv00ajvn,Laptop Lenovo Yoga Slim 7 14IMH9 83CV00AJVN,27990000,Xem chi tiết: https://cellphones.com.vn/laptop-lenovo-yoga-slim-7-14imh9-83cv00ajvn.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_659_46.png"
macbook-pro-14-inch-m4-pro-12-cpu-16-gpu-24gb-512gb-sac-96w,MacBook Pro 14 M4 Pro 12CPU 16GPU 24GB 512GB Sạc 96W | Chính hãng Apple Việt Nam,50290000,Xem chi tiết: https://cellphones.com.vn/macbook-pro-14-inch-m4-pro-12-cpu-16-gpu-24gb-512gb-sac-96w.html,Root,"https://cdn2.cellphones.com.vn/x358,webp,q100//m/a/macbook_9__4_6.png"
laptop-lg-gram-book-15u50t-g-av56a5,Laptop LG Gram Book 15U50T-G.AV56A5,14290000,Xem chi tiết: https://cellphones.com.vn/laptop-lg-gram-book-15u50t-g-av56a5.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_18.png"
laptop-lenovo-v14-g3-iap-82ts00ayvn,Laptop Lenovo V14 G3 IAP 82TS00AYVN,11990000,Xem chi tiết: https://cellphones.com.vn/laptop-lenovo-v14-g3-iap-82ts00ayvn.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_14.png"
laptop-lenovo-v15-g4-iru-83cc0041vn,Laptop Lenovo V15 G4 IRU 83CC0041VN,13190000,Xem chi tiết: https://cellphones.com.vn/laptop-lenovo-v15-g4-iru-83cc0041vn.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_23.png"
laptop-dell-inspiron-14-5440-n4i5211w1,Laptop Dell Inspiron 14 5440 N4I5211W1,22890000,Xem chi tiết: https://cellphones.com.vn/laptop-dell-inspiron-14-5440-n4i5211w1.html,Laptop,"https://cdn2.cellphones.com.vn/x358,webp,q100//g/r/group_744_1_67.png"
